# Table: fun
# Replaces: type=fact
# uuid: id
type,content
fact,"It is impossible to lick your elbow."
fact,"Intelligent people have more zinc and copper in their hair."
fact,"In every episode of Seinfeld there is a Superman somewhere."
fact,"Wearing headphones for just an hour will increase the bacteria in your ear by 700 times."
fact,"More than 50% of the people in the world have never made or received a telephone call."
fact,"13% of Americans actually believe that some parts of the moon are made of cheese."
fact,"The world's youngest parents were 8 and 9 and lived in China in 1910."
fact,"Fish that live more than 800 meters below the ocean surface don't have eyes."
fact,"Grapes explode when you put them in the microwave. Go on, try it then."
fact,"Ramses brand condom is named after the great pharaoh Ramses II who fathered over 160 children."
fact,"Peanuts are one of the ingredients of dynamite."
fact,"The average chocolate bar has 8 insects' legs in it."
fact,"In York, it is perfectly legal to shoot a Scotsman with a bow and arrow (except on Sundays)."
fact,"No piece of square dry paper can be folded in half more than 7 times."
fact,"The average human eats 8 spiders in their lifetime at night."
fact,"""Stewardesses"" is the longest word typed with only the left hand."
fact,"An average human loses about 200 head hairs per day."
fact,"Mexico City sinks about 10 inches a year."
fact,"It's impossible to sneeze with your eyes open."
fact,"In France, a five year old child can buy an alcoholic drink in a bar."
fact,"During the chariot scene in ""Ben Hur,"" a small red car can be seen in the distance."
fact,"Because metal was scarce, the Oscars given out during World War II were made of wood."
fact,"By raising your legs slowly and lying on your back, you cannot sink into quicksand."
fact,"Venus is the only planet that rotates clockwise."
fact,"Charlie Chaplin once won third prize in a Charlie Chaplin look-alike contest."
fact,"The glue on Israeli postage is certified kosher."
fact,"In 10 minutes, a hurricane releases more energy than all of the world's nuclear weapons combined."
fact,"On average, 100 people choke to death on ball-point pens every year."
fact,"Thirty-five percent of the people who use personal ads for dating are already married."
fact,"The electric chair was invented by a dentist."
fact,"Bruce Lee was so fast that they actually had to s-l-o-w film down so you could see his moves."
fact,"A Boeing 747s wingspan is longer than the Wright brother's first flight."
fact,"Babies are born without knee caps. They don't appear until the child reaches 2-6 years of age."
fact,"14% of all facts and statistics are made up and 27% of people know that fact."
fact,"Every time you lick a stamp, you're consuming 1/10 of a calorie."
fact,"Eskimos have over 15 words for the English word of 'Snow'."
fact,"Americans on the average eat 18 acres of pizza every day."
fact,"Banging your head against a wall uses 150 calories an hour."
fact,"On a Canadian two dollar bill, the flag flying over the Parliament buildings is an American flag."
fact,"Almonds are a member of the peach family."
fact,"The plastic things on the end of shoelaces are called aglets."
fact,"“Ithyphallophobia"" is a morbid fear of seeing, thinking about or having an erect penis."
fact,"The average shelf-life of a latex condom is about two years."
fact,"14% of Americans have skinny-dipped with a member of the opposite sex at least once."
fact,"Male bats have the highest rate of homosexuality of any mammal."
fact,"A man's beard grows fastest when he anticipates sex."
fact,"A man will ejaculate approximately 18 quarts of semen in his lifetime."
fact,"Sex is biochemically no different from eating large quantities of chocolate."
fact,"Humans and dolphins are the only species that have sex for pleasure."
fact,"For every 'normal' webpage, there are five porn pages."
fact,"""Venus observa"" is the technical term for the ""missionary position.""."
fact,"Sex is the safest tranquilizer in the world. IT IS 10 TIMES MORE EFFECTIVE THAN VALIUM."
fact,"Samuel Clemens (Mark Twain) was born on and died on days when Halley’s Comet can be seen."
fact,"US Dollar bills are made out of cotton and linen."
fact,"The 57 on the Heinz ketchup bottle represents the number of pickle types the company once had."
fact,"Americans are responsible for about 1/5 of the world’s garbage annually."
fact,"Giraffes and rats can last longer without water than camels."
fact,"Your stomach produces a new layer of mucus every two weeks so that it doesn’t digest itself."
fact,"98% of all murders and rapes are by a close family member or friend of the victim."
fact,"A B-25 bomber crashed into the 79th floor of the Empire State Building on July 28, 1945."
fact,"The Declaration of Independence was written on hemp (marijuana) paper."
fact,"The dot over the letter “i” is called a tittle."
fact,"Benjamin Franklin was the fifth in a series of the youngest son of the youngest son."
fact,"Triskaidekaphobia means fear of the number 13."
fact,"Paraskevidekatriaphobia means fear of Friday the 13th, which occurs one to three times a year."
fact,"In Italy, 17 is considered an unlucky number. In Japan, 4 is considered an unlucky number."
fact,"A female ferret will die if it goes into heat and cannot find a mate."
fact,"In ancient Rome, when a man testified in court he would swear on his testicles."
fact,"The ZIP in “ZIP code” means Zoning Improvement Plan."
